Order Date,Category,Sub-Category,Region,Sales,Profit,Quantity,Year,Month
2016-11-08,Furniture,Bookcases,South,261.96,41.9136,2,2016,11
2016-11-08,Furniture,Chairs,South,731.94,219.582,3,2016,11
2016-06-12,Office Supplies,Labels,West,14.62,6.8714,2,2016,6
2015-10-11,Furniture,Tables,South,957.5775,-383.031,5,2015,10
2015-10-11,Office Supplies,Storage,South,22.368,2.5164,2,2015,10
2014-06-09,Furniture,Furnishings,West,48.86,14.1694,7,2014,6
2014-06-09,Office Supplies,Art,West,7.28,1.9656,4,2014,6
2014-06-09,Technology,Phones,West,907.152,90.7152,6,2014,6
2014-06-09,Office Supplies,Binders,West,18.504,5.7825,3,2014,6
2014-06-09,Office Supplies,Appliances,West,114.9,34.47,5,2014,6
2014-06-09,Furniture,Tables,West,1706.184,85.3092,9,2014,6
2014-06-09,Technology,Phones,West,911.424,68.3568,4,2014,6
2017-04-15,Office Supplies,Paper,South,15.552,5.4432,3,2017,4
2016-12-05,Office Supplies,Binders,West,407.976,132.5922,3,2016,12
2015-11-22,Office Supplies,Appliances,Central,68.81,-123.858,5,2015,11
2015-11-22,Office Supplies,Binders,Central,2.544,-3.816,3,2015,11
2014-11-11,Office Supplies,Storage,Central,665.88,13.3176,6,2014,11
2014-05-13,Office Supplies,Storage,West,55.5,9.99,2,2014,5
2014-08-27,Office Supplies,Art,West,8.56,2.4824,2,2014,8
2014-08-27,Technology,Phones,West,213.48,16.011,3,2014,8
2014-08-27,Office Supplies,Binders,West,22.72,7.384,4,2014,8
2016-12-09,Office Supplies,Art,Central,19.46,5.0596,7,2016,12
2016-12-09,Office Supplies,Appliances,Central,60.34,15.6884,7,2016,12
2017-07-16,Furniture,Chairs,East,71.372,-1.0196,2,2017,7
2015-09-25,Furniture,Tables,West,1044.63,240.2649,3,2015,9
2016-01-16,Office Supplies,Binders,West,11.648,4.2224,2,2016,1
2016-01-16,Technology,Accessories,West,90.57,11.7741,3,2016,1
2015-09-17,Furniture,Bookcases,East,3083.43,-1665.0522,7,2015,9
2015-09-17,Office Supplies,Binders,East,9.618,-7.0532,2,2015,9
2015-09-17,Furniture,Furnishings,East,124.2,15.525,3,2015,9
2015-09-17,Office Supplies,Envelopes,East,3.264,1.1016,2,2015,9
2015-09-17,Office Supplies,Art,East,86.304,9.7092,6,2015,9
2015-09-17,Office Supplies,Binders,East,6.858,-5.715,6,2015,9
2015-09-17,Office Supplies,Art,East,15.76,3.546,2,2015,9
